In20,Out20,In30,Out30,In60,Out60
0.110551005,0.386065578,0.081465137,0.441504121,0.017919452,0.576904149
0.080391825,0.394163604,0.05087181,0.453923909,0.020522369,0.71371512
0.508117078,0.476501865,0.342819303,0.533136477,0.095654134,0.698755683
0.145125235,0.435843768,0.092330312,0.500662208,0.024830758,0.656514992
0.173702879,0.585861956,0.110060958,0.65022079,0.022575364,0.766099174
0.145978042,0.49945629,0.098959583,0.54267022,0.021773271,0.714530901
0.164809707,0.520894978,0.108270635,0.562861557,0.024221099,0.778076293
0.174443848,0.398478993,0.11931281,0.458374027,0.027112582,0.69354417
0.262438659,0.607829206,0.152194364,0.65285904,0.028802645,0.912294624
0.284956552,0.393542603,0.243915553,0.444718597,0.057008661,0.645314972
0.521056204,0.784228532,0.361754699,0.836096441,0.065154548,0.887939308
0.131817542,0.369622174,0.090092687,0.417901412,0.021912358,0.571230124
0.093815483,0.354203389,0.061160976,0.429095903,0.0197064,0.688956006
0.495383931,0.424788005,0.332550652,0.474613778,0.09100292,0.587093604
0.222315278,0.681700122,0.140617391,0.727727812,0.023465486,0.937281155
0.176775058,0.13143307,0.155162894,0.173330744,0.03189075,0.354221244
0.191805817,0.403484106,0.123716933,0.46156639,0.032954642,0.741697564
0.497442302,0.700973409,0.368923562,0.76954204,0.100985951,1.009906493
0.1325013,0.147063204,0.092432712,0.186186662,0.015768801,0.347508565
0.099368489,0.387367776,0.066224561,0.453659148,0.015463257,0.583840769
0.441958267,0.502256385,0.315873127,0.51108384,0.083335131,0.761050879
0.194403043,0.546396093,0.126808424,0.632741253,0.026692529,0.845684581
0.190002071,0.600555699,0.118909764,0.678308793,0.023084179,0.855303601
0,0.302949927,0,0.398994302,0,0.76220051
0.384173928,0.48965951,0.274895616,0.532313261,0.05533323,0.673141961
0.079119249,0.101126375,0.062622417,0.142073159,0.013888705,0.301275007
0.119430645,0.409422173,0.080316828,0.479536194,0.014894412,0.620698105
0.49092794,0.791003879,0.360187157,0.875718366,0.082696028,1.025231509
0.515371784,0.535695816,0.348694955,0.639735093,0.095212208,0.881075332
0.139961932,0.442226941,0.092845447,0.511347414,0.023807581,0.648100847
0.550692491,0.607939055,0.368859759,0.683703865,0.098870503,0.850179713
0.094825428,0.371435866,0.066994352,0.416487735,0.017842582,0.550216479
0.168055962,0.561072051,0.100682495,0.619941371,0.029886639,0.801584355
0.100916595,0.401453087,0.070793189,0.44770123,0.015474995,0.597007957
